"EVTYPE";"BGN_DATE";"STATE";"nobs";"qFA";"qIN";"qPR";"qCR"
"121";"flood";1995;"NC";101;0;2;684063000;15135000
"122";"flood";1995;"ND";11;0;0;220000;0
"123";"flood";1995;"NE";10;0;0;1940000;957000
"124";"flood";1995;"NH";3;0;0;55000;0
"125";"flood";1995;"NJ";16;0;0;0;0
"126";"flood";1995;"NM";10;0;14;924000;30000
"127";"flood";1995;"NV";15;0;1;4763000;6e+06
"128";"flood";1995;"NY";67;0;3;7790000;0
"129";"flood";1995;"OH";279;5;11;14828099;394000
"130";"flood";1995;"OK";123;0;0;1020200;0
"131";"flood";1995;"OR";10;0;6;500500;5e+06
"132";"flood";1995;"PA";20;0;0;950007;0
"133";"flood";1995;"PR";13;0;0;0;0
"134";"flood";1995;"SC";60;3;8;17229000;9000
"135";"flood";1995;"SD";14;0;0;3013000;3250000
"136";"flood";1995;"TN";16;0;0;798000;2e+05
"137";"flood";1995;"TX";321;24;4;7095000;2082000
"138";"flood";1995;"UT";12;0;0;1e+05;0
"139";"flood";1995;"VA";98;2;3;11336047;1834500
"140";"flood";1995;"VI";11;0;0;0;0
"141";"flood";1995;"VT";17;1;1;5250000;0
"142";"flood";1995;"WA";1;0;0;0;0
"143";"flood";1995;"WI";27;0;3;650000;0
"144";"flood";1995;"WV";36;0;0;7875000;620000
"145";"flood";1995;"WY";11;1;0;39000;0
"146";"flood";1996;"AK";3;0;0;0;0
"147";"flood";1996;"AL";40;1;2;1477000;47000
"148";"flood";1996;"AR";48;0;0;10000;0
"149";"flood";1996;"AZ";57;0;3;751000;0
"150";"flood";1996;"CA";43;4;2;13185000;50000
"151";"flood";1996;"CO";43;3;6;3708000;250000
"152";"flood";1996;"CT";62;0;0;2134000;0
"153";"flood";1996;"DC";6;0;0;10080000;0
"154";"flood";1996;"DE";18;0;0;3e+05;0
"155";"flood";1996;"FL";112;0;0;2415900;0
"156";"flood";1996;"GA";48;0;2;2768000;0
"157";"flood";1996;"HI";67;0;0;1900000;170000
"158";"flood";1996;"IA";65;0;0;32535000;66105000
"159";"flood";1996;"ID";15;1;2;44160000;0
"160";"flood";1996;"IL";122;2;0;89377000;16340000
"161";"flood";1996;"IN";157;2;1;15420000;305000
"162";"flood";1996;"KS";140;2;3;2569000;1310000
"163";"flood";1996;"KY";166;2;1;15628000;5750000
"164";"flood";1996;"LA";47;0;1;186000;0
"165";"flood";1996;"MA";70;0;0;12673000;0
"166";"flood";1996;"MD";98;3;3;80399000;75000
"167";"flood";1996;"ME";24;1;3;31096000;0
"168";"flood";1996;"MI";84;2;1;28939700;1e+06
"169";"flood";1996;"MN";11;0;0;440000;0
"170";"flood";1996;"MO";309;7;4;491000;5000
"171";"flood";1996;"MS";14;0;0;204000;0
"172";"flood";1996;"MT";32;4;0;2243400;0
"173";"flood";1996;"NC";151;0;1;15809000;25300000
"174";"flood";1996;"ND";8;0;0;210000;10000
"175";"flood";1996;"NE";60;0;0;9263000;21970000
"176";"flood";1996;"NH";33;1;0;10815000;0
"177";"flood";1996;"NJ";121;2;2;66720000;0
"178";"flood";1996;"NM";27;5;0;1270000;15000
"179";"flood";1996;"NV";11;0;1;370000;0
"180";"flood";1996;"NY";317;12;24;275216000;540000
"181";"flood";1996;"OH";345;3;0;22263000;443000
"182";"flood";1996;"OK";140;5;1;57000;0
"183";"flood";1996;"OR";15;12;6;453400000;4e+05
"184";"flood";1996;"PA";417;27;6;488651000;0
"185";"flood";1996;"PR";54;1;0;126000;0
"186";"flood";1996;"RI";6;0;0;0;0
"187";"flood";1996;"SC";37;1;0;668000;0
"188";"flood";1996;"SD";8;0;0;250000;10000
"189";"flood";1996;"TN";114;0;0;2608000;210000
"190";"flood";1996;"TX";353;7;5;24508000;41540000
"191";"flood";1996;"UT";12;1;10;5312000;0
"192";"flood";1996;"VA";232;10;1;122189000;17556000
"193";"flood";1996;"VT";38;2;1;5253000;0
"194";"flood";1996;"WA";8;1;0;440000;0
"195";"flood";1996;"WI";70;0;2;31525000;186500000
"196";"flood";1996;"WV";205;7;0;82432000;695000
"197";"flood";1996;"WY";12;0;0;181000;0
"198";"flood";1997;"AK";12;0;0;1390000;0
"199";"flood";1997;"AL";30;0;0;808500;64000
"200";"flood";1997;"AR";59;1;0;12894000;0
"201";"flood";1997;"AZ";82;20;125;534500;0
"202";"flood";1997;"CA";167;8;12;620440000;70700000
"203";"flood";1997;"CO";96;9;40;359246000;50000
"204";"flood";1997;"CT";5;0;0;510000;0
"205";"flood";1997;"DC";1;0;0;0;0
"206";"flood";1997;"DE";1;0;0;0;0
"207";"flood";1997;"FL";220;2;1;23459000;500500
"208";"flood";1997;"GA";26;0;0;539000;0
"209";"flood";1997;"GU";10;0;0;0;0
"210";"flood";1997;"HI";84;0;0;609000;0
"211";"flood";1997;"IA";62;1;0;3145000;535000
"212";"flood";1997;"ID";36;0;0;58060000;0
"213";"flood";1997;"IL";60;1;2;4288000;0
"214";"flood";1997;"IN";68;1;0;68597000;1000
"215";"flood";1997;"KS";56;0;1;2185000;50000
"216";"flood";1997;"KY";301;16;2;438155000;5810000
"217";"flood";1997;"LA";104;1;0;4374400;0
"218";"flood";1997;"MA";5;0;0;14000;0
"219";"flood";1997;"MD";7;0;0;30000;0
"220";"flood";1997;"ME";8;0;0;350000;0
"221";"flood";1997;"MI";80;0;6;4300000;5e+06
"222";"flood";1997;"MN";90;0;1;714277800;30000
"223";"flood";1997;"MO";142;5;3;667000;0
"224";"flood";1997;"MS";58;0;0;32771600;0
"225";"flood";1997;"MT";49;0;0;2904000;250000
"226";"flood";1997;"NC";88;3;5;11674300;2e+06
"227";"flood";1997;"ND";30;2;2;3404053000;4250000
"228";"flood";1997;"NE";35;0;0;8113000;1800000
"229";"flood";1997;"NH";10;0;0;2000;0
"230";"flood";1997;"NJ";23;0;3;60100000;0
"231";"flood";1997;"NM";34;2;1;785000;0
"232";"flood";1997;"NV";31;3;56;651440000;15000
"233";"flood";1997;"NY";21;0;0;124000;0
"234";"flood";1997;"OH";297;5;5;66026000;980000
"235";"flood";1997;"OK";124;2;3;1480000;0
"236";"flood";1997;"OR";27;0;0;89400000;13400000
"237";"flood";1997;"PA";89;3;0;10624000;0
"238";"flood";1997;"PR";70;1;0;1539500;0
"239";"flood";1997;"RI";2;0;0;0;0
"240";"flood";1997;"SC";27;0;1;855000;0
"241";"flood";1997;"SD";52;0;0;507700;0
"242";"flood";1997;"TN";183;4;0;23485100;150000
"243";"flood";1997;"TX";833;21;239;68236400;8828000
"244";"flood";1997;"UT";32;1;12;7099000;70000
"245";"flood";1997;"VA";56;0;0;605000;0
"246";"flood";1997;"VI";17;0;0;20000;0
"247";"flood";1997;"VT";7;0;0;12500000;0
"248";"flood";1997;"WA";18;1;0;21205000;0
"249";"flood";1997;"WI";37;0;0;92064700;1253000
"250";"flood";1997;"WV";98;5;2;18396000;30000
"251";"flood";1997;"WY";15;0;0;157000;35000
"252";"flood";1998;"AK";12;0;0;2564000;0
"253";"flood";1998;"AL";100;7;2;352783000;15370000
"254";"flood";1998;"AM";1;0;0;0;0
"255";"flood";1998;"AR";64;2;0;2050000;0
"256";"flood";1998;"AS";1;0;0;0;0
"257";"flood";1998;"AZ";71;4;0;36000;0
"258";"flood";1998;"CA";228;17;15;188937000;149621000
"259";"flood";1998;"CO";52;0;0;2025000;1e+05
"260";"flood";1998;"CT";35;0;0;40000;0
"261";"flood";1998;"DC";3;0;0;10000;0
"262";"flood";1998;"DE";7;0;0;0;0
"263";"flood";1998;"FL";221;0;0;406311000;7e+05
"264";"flood";1998;"GA";67;1;1;165856000;18000
"265";"flood";1998;"GU";4;0;0;0;0
"266";"flood";1998;"HI";12;0;0;0;0
"267";"flood";1998;"IA";178;0;0;30548500;42222300
"268";"flood";1998;"ID";33;0;0;9e+05;0
"269";"flood";1998;"IL";116;1;0;1880000;5e+05
"270";"flood";1998;"IN";194;2;1;15711000;3900000
"271";"flood";1998;"KS";99;3;7;57982000;3136000
"272";"flood";1998;"KY";204;1;2;6624000;10035000
"273";"flood";1998;"LA";80;1;1;2675000;0
"274";"flood";1998;"MA";52;0;0;13510000;0
"275";"flood";1998;"MD";30;0;0;319000;0
"276";"flood";1998;"ME";31;1;0;3633000;0
"277";"flood";1998;"MI";43;0;0;3925000;0
"278";"flood";1998;"MN";38;2;0;2243000;285800
"279";"flood";1998;"MO";279;13;0;33774050;6210000
"280";"flood";1998;"MS";57;0;0;2887500;0
"281";"flood";1998;"MT";31;0;0;2608000;335000
"282";"flood";1998;"NC";181;0;12;16170000;0
"283";"flood";1998;"ND";19;0;0;1583000;0
"284";"flood";1998;"NE";42;0;1;1173000;225000
"285";"flood";1998;"NH";23;1;1;4325000;0
"286";"flood";1998;"NJ";37;0;0;0;0
"287";"flood";1998;"NM";17;0;1;696000;0
"288";"flood";1998;"NV";33;1;1;1300000;0
"289";"flood";1998;"NY";206;3;0;38582000;2e+05
"290";"flood";1998;"OH";333;9;0;109454000;71975000
"291";"flood";1998;"OK";128;2;2;1945000;0
"292";"flood";1998;"OR";33;2;1;2010000;0
"293";"flood";1998;"PA";132;0;0;1040000;0
"294";"flood";1998;"PR";102;3;0;8760000;0
"295";"flood";1998;"RI";18;0;0;4e+05;0
"296";"flood";1998;"SC";57;1;3;3993500;0
"297";"flood";1998;"SD";20;0;2;3880000;0
"298";"flood";1998;"TN";183;10;21;25262500;114000
"299";"flood";1998;"TX";615;40;6357;639647000;10628000
"300";"flood";1998;"UT";25;3;0;1688000;571200
"301";"flood";1998;"VA";185;0;0;2370900;0
"302";"flood";1998;"VI";14;0;0;2e+05;0
"303";"flood";1998;"VT";69;0;3;23085000;7e+05
"304";"flood";1998;"WA";24;0;0;5250000;0
"305";"flood";1998;"WI";53;2;5;82462000;410000
"306";"flood";1998;"WV";110;2;1;35506000;0
"307";"flood";1998;"WY";20;0;0;22000;0
"308";"flood";1999;"AK";13;0;0;36000;0
"309";"flood";1999;"AL";66;1;1;4643000;0
"310";"flood";1999;"AR";98;0;0;1472000;0
"311";"flood";1999;"AS";9;0;0;80000;0
"312";"flood";1999;"AZ";57;0;5;12796000;0
"313";"flood";1999;"CA";87;3;12;13892000;0
"314";"flood";1999;"CO";66;0;2;61069000;3610000
"315";"flood";1999;"CT";27;1;0;2412500;0
"316";"flood";1999;"DC";2;0;0;0;0
"317";"flood";1999;"DE";12;2;3;8374000;0
"318";"flood";1999;"FL";235;0;0;214725000;2.9e+08
"319";"flood";1999;"GA";19;0;0;8495000;0
"320";"flood";1999;"GU";30;0;0;420000;0
"321";"flood";1999;"HI";63;0;6;0;0
"322";"flood";1999;"IA";112;1;2;70031000;10465000
"323";"flood";1999;"ID";11;0;0;1292000;0
"324";"flood";1999;"IL";96;1;0;3646000;0
"325";"flood";1999;"IN";97;4;1;50123500;0
"326";"flood";1999;"KS";122;0;0;3205000;320000
"327";"flood";1999;"KY";71;1;2;506000;0
"328";"flood";1999;"LA";87;0;0;5974000;0
"329";"flood";1999;"MA";9;0;0;250000;0
"330";"flood";1999;"MD";29;0;21;23370000;0
"331";"flood";1999;"ME";13;0;0;892000;0
"332";"flood";1999;"MI";18;0;0;555000;0
"333";"flood";1999;"MN";21;0;0;311000;155000
"334";"flood";1999;"MO";156;4;3;7104000;3250000
"335";"flood";1999;"MS";55;2;0;1769000;0
"336";"flood";1999;"MT";28;0;0;184000;0
"337";"flood";1999;"NC";209;24;1;51350000;51700000
"338";"flood";1999;"ND";20;0;0;100355000;0
"339";"flood";1999;"NE";105;1;2;21565000;2500000
"340";"flood";1999;"NH";6;0;0;1002170;0
"341";"flood";1999;"NJ";69;6;189;538400000;0
